text,published_at,cleaned,sentiment
이재원은 뛰는 거냐? 걷는 거냐?,2025-07-08T22:59:48Z,이재원은 뛰는 거냐 걷는 거냐,neutral
이게 이글스다,2025-07-08T22:46:51Z,이게 이글스다,positive
가자 🕊🦅 이글스여!❤🎉,2025-07-08T22:42:41Z,가자 이글스여,positive
윤영철인가 쟤는 뭐 공도 안빠른데 제구도 안되고 변화구도밋밋하고 저런앨 선발로 올린다는건 걍 지겟다는거지뭐,2025-07-08T22:36:35Z,윤영철인가 쟤는 뭐 공도 안빠른데 제구도 안되고 변화구도밋밋하고 저런앨 선발로 올린다는건 걍 지겟다는거지뭐,neutral
"진짜 존나짜증난다.^^

기영아 너는 평균자책점을 신경 쓸 실력이 아니라. 1군에 있는것만으로도 범호 업고다녀라.",2025-07-08T22:33:11Z,진짜 존나짜증난다 기영아 너는 평균자책점을 신경 쓸 실력이 아니라 1군에 있는것만으로도 범호 업고다녀라,negative
위즈덤 수비 더럽게 하네. 3루에서 몸으로 밀어내려고 하네,2025-07-08T22:31:06Z,위즈덤 수비 더럽게 하네 3루에서 몸으로 밀어내려고 하네,neutral
"기아 외국인 선발 제외 확실한 국내 선발 두 명만 있으면 되는데, 쩝쩝",2025-07-08T22:24:21Z,기아 외국인 선발 제외 확실한 국내 선발 두 명만 있으면 되는데 쩝쩝,negative
박찬호가 말아먹은경기,2025-07-08T22:18:52Z,박찬호가 말아먹은경기,negative
"다이나마이트 타선 폭발이네. 옥의 티 : 1. 만루 홈런 맞아 기아 기 살려준 것, 2. 편집이 괴판이네. 티빙, 제대로 안하나???",2025-07-08T22:18:45Z,다이나마이트 타선 폭발이네 옥의 티 1 만루 홈런 맞아 기아 기 살려준 2 편집이 괴판이네 티빙 제대로 안하나,neutral
전날 쉬고 특히 중요한 경기에 선발 일찍 내리고 낸다는 불펜이 죄다 자책점 10점대들 ㅋㅋㅋㅋ,2025-07-08T22:01:54Z,전날 쉬고 특히 중요한 경기에 선발 일찍 내리고 낸다는 불펜이 죄다 자책점 10점대들 ㅋㅋㅋㅋ,positive
최원준이 선발넣으면. 진짜 죽는다잉,2025-07-08T21:47:14Z,최원준이 선발넣으면 진짜 죽는다잉,negative
3:3에 이형범이라니..............................아무리 3회라고 하지만 제구좀 되는 투수로 내보내라.,2025-07-08T21:45:20Z,33에 이형범이라니아무리 3회라고 제구좀 되는 투수로 내보내라,negative
4:14 원준아. 덥다고 초구 땅갈치고 찬수 날려먹고. 좀 신중하게 공격좀 해라......언제 터질레.,2025-07-08T21:44:13Z,414 원준아 덥다고 초구 땅갈치고 찬수 날려먹고 신중하게 공격좀 해라언제 터질레,neutral
윤영철 김대유 이형범 임기영,2025-07-08T21:43:53Z,윤영철 김대유 이형범 임기영,positive
크보 감독들은 투수 교체가 왜 그렇게 조루같냐 교체 투수가 좋은놈이면 모를까 방어율 다 10대들을 왜 그렇게 바꾸고 싶어 하지 ㅋㅋㅋㅋㅋ,2025-07-08T21:41:34Z,크보 감독들은 투수 교체가 그렇게 조루같냐 교체 투수가 좋은놈이면 모를까 방어율 다 10대들을 그렇게 바꾸고 싶어 하지 ㅋㅋㅋㅋㅋ,neutral
대전에 기아팬 겁나많음,2025-07-08T21:40:43Z,대전에 기아팬 겁나많음,neutral
"문동주 볼은 아직 풋내기 고딩 볼 수준을 못 벗어나고 있다, 볼에 프로의 감각이 묻어나야 되는데, 그냥 단순 무식하게 들어가니까 정신없이 얻어 맞는 것이다😢",2025-07-08T21:38:37Z,문동주 볼은 아직 풋내기 고딩 볼 수준을 못 벗어나고 볼에 프로의 감각이 묻어나야 되는데 그냥 단순 무식하게 들어가니까 정신없이 얻어 맞는 것이다,neutral
8회에 김종수 바꿔줘야지,2025-07-08T21:24:54Z,8회에 김종수 바꿔줘야지,negative
리베 안잡으면 타팀 간다,2025-07-08T21:03:55Z,리베 안잡으면 타팀 간다,neutral
윤영철 걍 내보내라 ㅋㅋ,2025-07-08T21:01:40Z,윤영철 걍 내보내라 ㅋㅋ,positive
"아이고,,김호령  잘 해놓고선...너무 멋짐...가볍게 탁... 타이밍만 맞으면  김호령의 시대.. 응원합니다. 홧팅..",2025-07-08T20:57:44Z,아이고김호령 잘 해놓고선너무 멋짐가볍게 탁 타이밍만 맞으면 김호령의 시대 응원합니다 홧팅,positive
김종수는 왜 델고 다니냐.. 단 한번을 잘하는걸 못보네..,2025-07-08T20:49:32Z,김종수는 델고 다니냐 단 한번을 잘하는걸 못보네,neutral
어제하지원은쉬는날이였나보네 하지원안보이던데 아야카만보임,2025-07-08T20:32:33Z,어제하지원은쉬는날이였나보네 하지원안보이던데 아야카만보임,neutral
"근데 원래 한화가 기아보다 야구 더 잘하나요? 기아는 작년우승팀인데 ㆍ
올해우승은 한화라고 봐야하나요?",2025-07-08T20:07:43Z,근데 원래 한화가 기아보다 야구 더 잘하나요 기아는 작년우승팀인데 ㆍ 올해우승은 한화라고 봐야하나요,neutral
최형우 노쇠화로 은퇴 ㅋㅋㅋㅋ,2025-07-08T20:01:27Z,최형우 노쇠화로 은퇴 ㅋㅋㅋㅋ,negative
이참에 맛집추천 기아 등록해야함..,2025-07-08T19:52:45Z,이참에 맛집추천 기아 등록해야함,neutral
"김종수 선수, 화이팅!",2025-07-08T19:51:49Z,김종수 선수 화이팅,positive
진심 진짜 이기영 존나 못한다 방출좀ㅁ 시켜라,2025-07-08T19:45:19Z,진심 진짜 이기영 존나 못한다 방출좀ㅁ 시켜라,negative
박찬호의 승부 조작이쟎아,2025-07-08T19:44:33Z,박찬호의 승부 조작이쟎아,neutral
이범호는 욕도 아깝다.,2025-07-08T19:36:15Z,이범호는 욕도 아깝다,negative
"영상엔 없고 직관가서 봤는데, 유로결이는 센터 나가서 득점권 주자 있는데 라인드라이브 성 타구를 원바운드 잔발 구르며 설렁설렁 잡더라. 정말 글러먹었더라. 그냥 계속 2군에 쳐박혀 있어라.",2025-07-08T19:24:30Z,영상엔 없고 직관가서 봤는데 유로결이는 센터 나가서 득점권 주자 있는데 라인드라이브 성 타구를 원바운드 잔발 구르며 설렁설렁 잡더라 정말 글러먹었더라 그냥 계속 2군에 쳐박혀 있어라,negative
이범호시키 일부로 임기영이 2군에서 올렸네.  한화에 져주기로,2025-07-08T19:22:41Z,이범호시키 일부로 임기영이 2군에서 올렸네 한화에 져주기로,negative
"시환아 오늘잘해었어두 항상 긴장해 내일도 잘해야지 삼진당하지말고 병살당하지 말고 무안타도안되..
너만믿는다...",2025-07-08T19:20:59Z,시환아 오늘잘해었어두 항상 긴장해 내일도 잘해야지 삼진당하지말고 병살당하지 말고 무안타도안되 너만믿는다,neutral
김종수 발암물질,2025-07-08T19:18:07Z,김종수 발암물질,negative
오늘의 승리일등 공신 ----> 박찬호 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-07-08T19:16:38Z,오늘의 승리일등 공신 박찬호 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,positive
기아는 박빙상황에 김대유냈다는것만으로도 게임 포기한거지,2025-07-08T19:16:01Z,기아는 박빙상황에 김대유냈다는것만으로도 게임 포기한거지,negative
기아는 투수를145이상을  보강을 필요하다,2025-07-08T19:15:29Z,기아는 투수를145이상을 보강을 필요하다,neutral
임기영 이형범 이런애들은 빨리 기술배우는게 ... 어디가서 야구선수라고 하면 중고딩선수들이 비웃을듯,2025-07-08T19:15:24Z,임기영 이형범 이런애들은 빨리 기술배우는게 어디가서 야구선수라고 하면 중고딩선수들이 비웃을듯,neutral
상대가 안되네… 한화 무섭다.,2025-07-08T19:09:10Z,상대가 안되네 한화 무섭다,negative
"이범호 약 먹음?
퀵후크는 좋은데 그럼 좀 하는애로 올려야지 방어률 12점대,10점대,12점대 올려서 점수는 점수대로 주고 타격감은 타격감대로 살려준상태로
김태형은 왜 올림? 이해가 안되네",2025-07-08T19:01:36Z,이범호 약 먹음 퀵후크는 좋은데 하는애로 올려야지 방어률 12점대10점대12점대 올려서 점수는 점수대로 주고 타격감은 타격감대로 살려준상태로 김태형은 올림 이해가 안되네,neutral
기아 투수가 진짜 2군애들만 불러왔나 개판이더라,2025-07-08T18:50:33Z,기아 투수가 진짜 2군애들만 불러왔나 개판이더라,negative
한화가  올해  통합 우승하는거  볼수있는건가  😂,2025-07-08T18:35:40Z,한화가 올해 통합 우승하는거 볼수있는건가,neutral
영철아 야구말고 다른거 알아보자 구속도 안나오는데 제구도 안되고 구질이 좋은것도 아니고 그렇다고 멘탈이 강한것도 아니고,2025-07-08T18:34:25Z,영철아 야구말고 다른거 알아보자 구속도 안나오는데 제구도 안되고 구질이 좋은것도 아니고 그렇다고 멘탈이 강한것도 아니고,negative
🦖) 50승 선착 ㅊㅋ 합니다.,2025-07-08T18:25:23Z,50승 선착 ㅊㅋ 합니다,positive
근데 솔직히 최원준은 2군 보내는게 맞을거 같은데,2025-07-08T18:24:11Z,근데 솔직히 최원준은 2군 보내는게 맞을거 같은데,neutral
살다살다 이순철 해설이 듣고싶은날이오네,2025-07-08T18:20:26Z,살다살다 이순철 해설이 듣고싶은날이오네,positive
리얼아 미안하다 그렇게됫다😅😅,2025-07-08T18:15:09Z,리얼아 미안하다 그렇게됫다,neutral
이범호 선발좀 더 믿어줬음 기아가 이겼다,2025-07-08T18:04:57Z,이범호 선발좀 더 믿어줬음 기아가 이겼다,negative
"아 티빙  퀄 떨어지는 방송
제발 하일라이트도 엠스픎꺼보자..
해설 누군지  모르지만..듣기 거북하고 어눌한 말투..캐스터는 그냥 챗 got가 나은...",2025-07-08T18:00:34Z,티빙 퀄 떨어지는 방송 제발 하일라이트도 엠스픎꺼보자 해설 누군지 모르지만듣기 거북하고 어눌한 말투캐스터는 그냥 챗 got가 나은,neutral
최원준이 문제임,2025-07-08T17:45:20Z,최원준이 문제임,negative
영철이는 왜 이렇게 망가졌나!구속도 느린애가 볼넷까지 남발하니ㅠㅠ 그리고 이형범과 갑자기 이름도 생각안난다만 사이드로 던지는 애 한화에서 온애~ 참 임기영 니네둘은 진심 다른직업 알아봐라ㅠㅠ,2025-07-08T17:35:12Z,영철이는 이렇게 망가졌나구속도 느린애가 볼넷까지 남발하니ㅠㅠ 이형범과 갑자기 이름도 생각안난다만 사이드로 던지는 애 한화에서 온애 임기영 니네둘은 진심 다른직업 알아봐라ㅠㅠ,neutral
탱구+종수 어휴....,2025-07-08T17:24:37Z,탱구종수 어휴,negative
이히리베리히 개 잘하네,2025-07-08T17:17:47Z,이히리베리히 개 잘하네,neutral
이재원은 이제 쉬게해주자. 저딴 타구에 아웃되냐? 할배임???,2025-07-08T17:17:02Z,이재원은 이제 쉬게해주자 저딴 타구에 아웃되냐 할배임,negative
직관다녀왔습니다 병살4개치고 14점 뽑는거 처음봅니다,2025-07-08T17:12:24Z,직관다녀왔습니다 병살4개치고 14점 뽑는거 처음봅니다,negative
기아 그래도 잘 따라가줘서 감사합니당,2025-07-08T17:10:35Z,기아 잘 따라가줘서 감사합니당,positive
직관갔는데 위즈덤 만루포 고맙다,2025-07-08T17:09:26Z,직관갔는데 위즈덤 만루포 고맙다,negative
한화 20번은 러닝 연습 좀 하자 ㅋ 거기서 아웃되는게 말이 되냐!! ㅋㅋ 기아는 첫타자 볼넷 좀 고쳐라! 볼넷 안타 득점 …. 이기고 싶은 마음이 전혀ㅡ없었던 경기…,2025-07-08T17:06:45Z,한화 20번은 러닝 연습 하자 ㅋ 거기서 아웃되는게 말이 되냐 ㅋㅋ 기아는 첫타자 볼넷 고쳐라 볼넷 안타 득점 이기고 싶은 마음이 전혀ㅡ없었던 경기,neutral
진짜 개종수는 점수 안벌려놧으면 엄상백이랑 투탑으로 버스타는 놈이다 어찌 저런애를 불펜으로 넣어놧을까,2025-07-08T16:57:40Z,진짜 개종수는 점수 안벌려놧으면 엄상백이랑 투탑으로 버스타는 놈이다 저런애를 불펜으로 넣어놧을까,negative
ㅋㅋㅋ 아~ 그래도 프로인데… ㅋㅋㅋ 진짜 기아 투수진은… 엉망이네… ㅋㅋㅋ 가을야구를 간다한들… 쟤네들을 데리고 뭘 하겠나… 쯧쯧… 그나저나 왜 기아 투수진은 하나같이 애들이 특색이 없나… 결정구도 없고… 앞으로가 걱정이다. 걱정이야… 🔥🔥,2025-07-08T16:51:16Z,ㅋㅋㅋ 프로인데 ㅋㅋㅋ 진짜 기아 투수진은 엉망이네 ㅋㅋㅋ 가을야구를 간다한들 쟤네들을 데리고 뭘 하겠나 쯧쯧 그나저나 기아 투수진은 하나같이 애들이 특색이 없나 결정구도 없고 앞으로가 걱정이다 걱정이야,neutral
기아도 한물갔네 아무리 2군이라지만 한화한테 이렇게 줘터지냐 ㅋㅋㅋㅋ,2025-07-08T16:51:11Z,기아도 한물갔네 아무리 2군이라지만 한화한테 이렇게 줘터지냐 ㅋㅋㅋㅋ,negative
"심우준 제발빼자. 공격은 완전 제로도 아니고 마이너스 아마추어 수준에, 그렇다고 수비도 스폐샬정도도 아닌데..참 돈벌기쉽단생각듬..심선수 보면..",2025-07-08T16:46:41Z,심우준 제발빼자 공격은 완전 제로도 아니고 마이너스 아마추어 수준에 그렇다고 수비도 스폐샬정도도 아닌데참 돈벌기쉽단생각듬심선수 보면,neutral
저때 홍어 한마라  한화.롯데.엘쥐 개그치 욕하던데 어차피 우승은 기아라고 우승해라  근데 왜 타팀을 혐오 하면서 까지 그러냐 전라도 홍어야,2025-07-08T16:46:09Z,저때 홍어 한마라 한화롯데엘쥐 개그치 욕하던데 어차피 우승은 기아라고 우승해라 근데 타팀을 혐오 그러냐 전라도 홍어야,neutral
이제 동주도 살아나나😂 타선도 살아나고  이제  영상보는중에 댓글다네 ㅋㅋ,2025-07-08T16:43:51Z,이제 동주도 살아나나 타선도 살아나고 이제 영상보는중에 댓글다네 ㅋㅋ,positive
내일 엄상백 선발입니당,2025-07-08T16:41:03Z,내일 엄상백 선발입니당,positive
요즘에 진짜 타격 개쳐올라옴,2025-07-08T16:39:46Z,요즘에 진짜 타격 개쳐올라옴,negative
박민 수비봐라ㅋㅋ,2025-07-08T16:39:10Z,박민 수비봐라ㅋㅋ,positive
총리 시절에 가족들에게 서울 땅투기를 시켰던 사람으로 소문이 자자합니다.,2025-07-08T16:39:01Z,총리 시절에 가족들에게 서울 땅투기를 시켰던 사람으로 소문이 자자합니다,positive
근데 오늘 압도적으로 이긴것도 아니도 8점 줬으면서 뭐가 그렇게 싱글벙글이지 아 맞다.... 99년도 우승빼곤 우승이 없구나 아차 ㅎㅎ,2025-07-08T16:36:36Z,근데 오늘 압도적으로 이긴것도 아니도 8점 줬으면서 뭐가 그렇게 싱글벙글이지 맞다 99년도 우승빼곤 우승이 없구나 아차 ㅎㅎ,negative
ㅎㅎ 한화팬은 웃고 기아팬은 울고  ㅎ,2025-07-08T16:33:52Z,ㅎㅎ 한화팬은 웃고 기아팬은 울고 ㅎ,negative
장하다 90억의 사나이 채은성,2025-07-08T16:32:31Z,장하다 90억의 사나이 채은성,neutral
오늘 직관 갔다온 사람입니다. 위즈덤늬 그랜드슬램 보고 경악했네요 ㅋㅋㅋㅋ 그래도 승요래서 다행입니다.,2025-07-08T16:32:01Z,오늘 직관 갔다온 사람입니다 위즈덤늬 그랜드슬램 보고 경악했네요 ㅋㅋㅋㅋ 승요래서 다행입니다,positive
이형범 다신 보기싫다,2025-07-08T16:31:10Z,이형범 다신 보기싫다,negative
범호가 공짜로 준경기 ㅋ,2025-07-08T16:28:58Z,범호가 공짜로 준경기 ㅋ,positive
윤영철  첫 한화전  패😂,2025-07-08T16:28:21Z,윤영철 첫 한화전 패,negative
이야.. 이제 빠따까지 되네..,2025-07-08T16:27:10Z,이야 이제 빠따까지 되네,negative
패자는 말이없다.... 하지만 기아 투수운용 실패....,2025-07-08T16:27:04Z,패자는 말이없다 기아 투수운용 실패,negative
동주야 수육 먹으로 가야지~~,2025-07-08T16:25:48Z,동주야 수육 먹으로 가야지,neutral
영철아 전반기 마지막 원정이라고 나름 열심히 래볼려고  보였는디 쉽지않않지? ㅋㅋ 특유 너의 장점도 없어지더라 그래도  애썼어 자리 지켜줘서 고맙고 후반기 압도해보자 영철 !,2025-07-08T16:25:38Z,영철아 전반기 마지막 원정이라고 나름 열심히 래볼려고 보였는디 쉽지않않지 ㅋㅋ 특유 너의 장점도 없어지더라 애썼어 자리 지켜줘서 고맙고 후반기 압도해보자 영철,negative
김태연 좀 그만 쓰져,2025-07-08T16:25:23Z,김태연 그만 쓰져,negative
역시나 기아는  불펜이  다 말아먹는구나  요몇경기 조용하다 했더니 난리도 아니네 무슨 3이닝을.....기가찬다기가차~~,2025-07-08T16:25:05Z,역시나 기아는 불펜이 다 말아먹는구나 요몇경기 조용하다 했더니 난리도 아니네 3이닝을기가찬다기가차,neutral
영철이는 진짜 투같새다 50이닝 던지는 새끼는 또 처음보네,2025-07-08T16:22:09Z,영철이는 진짜 투같새다 50이닝 던지는 새끼는 처음보네,negative
리트리버야 최고야!!!!,2025-07-08T16:20:26Z,리트리버야 최고야,positive
야 한화타자들 돈내고 쳐야겠다.,2025-07-08T16:18:54Z,한화타자들 돈내고 쳐야겠다,positive
"2군 데리고 컨디션 안 좋은팀 하위팀 이기더니 최강이라고 외치다가
1위팀한테 개박살났네 ㅎㅎ",2025-07-08T16:18:06Z,2군 데리고 컨디션 안 좋은팀 하위팀 이기더니 최강이라고 외치다가 1위팀한테 개박살났네 ㅎㅎ,neutral
아니 근데 그.... 해설 너무 못하는..... 발음이 다 뭉개져서 들려요 코막힌소리 ㅠㅠㅠ,2025-07-08T16:18:04Z,근데 해설 너무 못하는 발음이 다 뭉개져서 들려요 코막힌소리 ㅠㅠㅠ,neutral
영철아 좀 꺼지면 안되냐..,2025-07-08T16:16:23Z,영철아 꺼지면 안되냐,negative
동주야 사랑해,2025-07-08T16:15:50Z,동주야 사랑해,positive
경문이형 존심때문에 리베라토 버리고 플로리얼 결정할꺼같다...참고로 경문이형은 플로리얼과 끝까지 함께할꺼라고 지입으로 말함ㅠㅠ,2025-07-08T16:15:42Z,경문이형 존심때문에 리베라토 버리고 플로리얼 결정할꺼같다참고로 경문이형은 플로리얼과 끝까지 함께할꺼라고 지입으로 말함ㅠㅠ,negative
스윕걱정에서 루징걱정으로 바뀐경기,2025-07-08T16:09:44Z,스윕걱정에서 루징걱정으로 바뀐경기,positive
믿음의 야구고 지랄이고 당장 리트머스랑 계약하쇼. 우리와 함께 뛰어온 플로머시기 선택하면 폭동일어난다 진짜,2025-07-08T16:07:24Z,믿음의 야구고 지랄이고 리트머스랑 계약하쇼 우리와 뛰어온 플로머시기 선택하면 폭동일어난다 진짜,negative
"이동욱 해설하지 말자.
이건 뭐 보면 다 아는 내용 주절주절 떠드는게 뭔 해설이야.
잘쳐서 안타를 만들었어요.
잘던져서 아웃을 잡았어요.
에라이",2025-07-08T16:06:37Z,이동욱 해설하지 말자 이건 뭐 보면 다 아는 내용 주절주절 떠드는게 뭔 해설이야 잘쳐서 안타를 만들었어요 잘던져서 아웃을 잡았어요 에라이,neutral
윤영철좀 2군보내라  영철이선발=필패,2025-07-08T16:05:35Z,윤영철좀 2군보내라 영철이선발필패,negative
해설자가 바로 옆에서 소리지르고 있는것 같다 시끄러워,2025-07-08T16:05:19Z,해설자가 옆에서 소리지르고 있는것 시끄러워,negative
10:29 이 수비는 메이저급이네 지린다,2025-07-08T16:01:12Z,1029 수비는 메이저급이네 지린다,positive
"종수는 기회를 줘도 못잡네
안타깝다 안타까워 
시즌 전반 1위 ㅅㅅ",2025-07-08T16:00:01Z,종수는 기회를 줘도 못잡네 안타깝다 안타까워 시즌 전반 1위 ㅅㅅ,neutral
"ㅋㅋㅋㅋㅋㅋㅋㅋ  한화펜은 아닌데, 한화 미쳤구나",2025-07-08T15:58:49Z,ㅋㅋㅋㅋㅋㅋㅋㅋ 한화펜은 아닌데 한화 미쳤구나,negative
전라도 호랭이 충청도 독수리에게   완전 좆된날ᆢ 이글스 축하😊😊😊,2025-07-08T15:58:26Z,전라도 호랭이 충청도 독수리에게 완전 좆된날ᆢ 이글스 축하,neutral
진짜 윤영철 쌍욕나온다 말이 2승 9패지 강판을 하도 빨리 당해서 기록안된 패전 경기도 많음 투수는 다갈리고 지고 롯데한테 약하다해서 한화전에 올려주니까 3이닝도 다 못채우고 강판 팀에 패끼치지말고 군대나 가서 몸만들고 구속올려와라 넌 올시즌 답도없다 그런 탱탱볼 누가 못치겠냐 그렇다고 제구가 칼같이 되는것도 아니고 진짜 니가 팀에 얼마나 큰해를 끼치는지는 아냐 이닝 못먹어서 다른투수들이 무리해서 더 던지고 너가 3승만 더 먹어줬어도 우리 상위권 경쟁중이야,2025-07-08T15:58:18Z,진짜 윤영철 쌍욕나온다 말이 2승 9패지 강판을 하도 빨리 당해서 기록안된 패전 경기도 많음 투수는 다갈리고 지고 롯데한테 약하다해서 한화전에 올려주니까 3이닝도 다 못채우고 강판 팀에 패끼치지말고 군대나 가서 몸만들고 구속올려와라 넌 올시즌 답도없다 그런 탱탱볼 누가 못치겠냐 그렇다고 제구가 칼같이 되는것도 아니고 진짜 니가 팀에 큰해를 끼치는지는 아냐 이닝 못먹어서 다른투수들이 무리해서 더 던지고 너가 3승만 더 먹어줬어도 상위권 경쟁중이야,neutral
기아 6회말 수비는 김혜성 같네,2025-07-08T15:56:59Z,기아 6회말 수비는 김혜성 같네,neutral
"임기영 당장 2군 내려라~~~!
돈이 아깝다",2025-07-08T15:56:39Z,임기영 2군 내려라 돈이 아깝다,negative
기영아 우리 이제 그만보자,2025-07-08T15:54:44Z,기영아 이제 그만보자,negative
"오늘 이겨서 너무 좋은데, 내일 생각하면 바로 짜증이 밀려온다 엄상백... 자동문 내일은 몇점을 주고 시작할지 걱정이고만",2025-07-08T15:53:13Z,오늘 이겨서 너무 좋은데 내일 생각하면 짜증이 밀려온다 엄상백 자동문 내일은 몇점을 주고 시작할지 걱정이고만,neutral
기아 팬인데.... 요즘 한화 진짜 미쳤네요~~ㄷㄷㄷ,2025-07-08T15:52:46Z,기아 팬인데 요즘 한화 진짜 미쳤네요ㄷㄷㄷ,neutral
오늘 경기...... 3회에 영철이 울기 전에 내가 먼저 (진짜로) 울었다... 눈물 없이 볼 수 없는 경기력이었다,2025-07-08T15:52:10Z,오늘 경기 3회에 영철이 울기 전에 내가 먼저 울었다 눈물 없이 볼 수 없는 경기력이었다,negative
이재원은 사람이냐? 거북이냐?,2025-07-08T15:52:05Z,이재원은 사람이냐 거북이냐,negative
위즈덤 만리런 보러 온 기아 팬들 없나? 여권 다시 숨겨야 할 듯ㅋㅋㅋ,2025-07-08T15:46:14Z,위즈덤 만리런 보러 온 기아 팬들 없나 여권 다시 숨겨야 할 듯ㅋㅋㅋ,negative
한화 물빠따라고 팬도 욕하는데 혈을 뚫어주는 화타 타이거즈...ㄷㄷㄷ,2025-07-08T15:46:04Z,한화 물빠따라고 팬도 욕하는데 혈을 뚫어주는 화타 타이거즈ㄷㄷㄷ,neutral
10:40 이재원 얼마나 느린거냐.......,2025-07-08T15:45:39Z,1040 이재원 느린거냐,negative
