text,published_at,cleaned,sentiment,date
저때 홍어 한마라  한화.롯데.엘쥐 개그치 욕하던데 어차피 우승은 기아라고 우승해라  근데 왜 타팀을 혐오 하면서 까지 그러냐 전라도 홍어야,2025-07-08 16:46:09+00:00,저때 홍어 한마라 한화롯데엘쥐 개그치 욕하던데 어차피 우승은 기아라고 우승해라 근데 타팀을 혐오 그러냐 전라도 홍어야,neutral,2025-07-08
이제 동주도 살아나나😂 타선도 살아나고  이제  영상보는중에 댓글다네 ㅋㅋ,2025-07-08 16:43:51+00:00,이제 동주도 살아나나 타선도 살아나고 이제 영상보는중에 댓글다네 ㅋㅋ,positive,2025-07-08
내일 엄상백 선발입니당,2025-07-08 16:41:03+00:00,내일 엄상백 선발입니당,positive,2025-07-08
요즘에 진짜 타격 개쳐올라옴,2025-07-08 16:39:46+00:00,요즘에 진짜 타격 개쳐올라옴,negative,2025-07-08
박민 수비봐라ㅋㅋ,2025-07-08 16:39:10+00:00,박민 수비봐라ㅋㅋ,positive,2025-07-08
총리 시절에 가족들에게 서울 땅투기를 시켰던 사람으로 소문이 자자합니다.,2025-07-08 16:39:01+00:00,총리 시절에 가족들에게 서울 땅투기를 시켰던 사람으로 소문이 자자합니다,positive,2025-07-08
근데 오늘 압도적으로 이긴것도 아니도 8점 줬으면서 뭐가 그렇게 싱글벙글이지 아 맞다.... 99년도 우승빼곤 우승이 없구나 아차 ㅎㅎ,2025-07-08 16:36:36+00:00,근데 오늘 압도적으로 이긴것도 아니도 8점 줬으면서 뭐가 그렇게 싱글벙글이지 맞다 99년도 우승빼곤 우승이 없구나 아차 ㅎㅎ,negative,2025-07-08
ㅎㅎ 한화팬은 웃고 기아팬은 울고  ㅎ,2025-07-08 16:33:52+00:00,ㅎㅎ 한화팬은 웃고 기아팬은 울고 ㅎ,negative,2025-07-08
장하다 90억의 사나이 채은성,2025-07-08 16:32:31+00:00,장하다 90억의 사나이 채은성,neutral,2025-07-08
오늘 직관 갔다온 사람입니다. 위즈덤늬 그랜드슬램 보고 경악했네요 ㅋㅋㅋㅋ 그래도 승요래서 다행입니다.,2025-07-08 16:32:01+00:00,오늘 직관 갔다온 사람입니다 위즈덤늬 그랜드슬램 보고 경악했네요 ㅋㅋㅋㅋ 승요래서 다행입니다,positive,2025-07-08
이형범 다신 보기싫다,2025-07-08 16:31:10+00:00,이형범 다신 보기싫다,negative,2025-07-08
범호가 공짜로 준경기 ㅋ,2025-07-08 16:28:58+00:00,범호가 공짜로 준경기 ㅋ,positive,2025-07-08
윤영철  첫 한화전  패😂,2025-07-08 16:28:21+00:00,윤영철 첫 한화전 패,negative,2025-07-08
이야.. 이제 빠따까지 되네..,2025-07-08 16:27:10+00:00,이야 이제 빠따까지 되네,negative,2025-07-08
패자는 말이없다.... 하지만 기아 투수운용 실패....,2025-07-08 16:27:04+00:00,패자는 말이없다 기아 투수운용 실패,negative,2025-07-08
동주야 수육 먹으로 가야지~~,2025-07-08 16:25:48+00:00,동주야 수육 먹으로 가야지,neutral,2025-07-08
영철아 전반기 마지막 원정이라고 나름 열심히 래볼려고  보였는디 쉽지않않지? ㅋㅋ 특유 너의 장점도 없어지더라 그래도  애썼어 자리 지켜줘서 고맙고 후반기 압도해보자 영철 !,2025-07-08 16:25:38+00:00,영철아 전반기 마지막 원정이라고 나름 열심히 래볼려고 보였는디 쉽지않않지 ㅋㅋ 특유 너의 장점도 없어지더라 애썼어 자리 지켜줘서 고맙고 후반기 압도해보자 영철,negative,2025-07-08
김태연 좀 그만 쓰져,2025-07-08 16:25:23+00:00,김태연 그만 쓰져,negative,2025-07-08
역시나 기아는  불펜이  다 말아먹는구나  요몇경기 조용하다 했더니 난리도 아니네 무슨 3이닝을.....기가찬다기가차~~,2025-07-08 16:25:05+00:00,역시나 기아는 불펜이 다 말아먹는구나 요몇경기 조용하다 했더니 난리도 아니네 3이닝을기가찬다기가차,neutral,2025-07-08
영철이는 진짜 투같새다 50이닝 던지는 새끼는 또 처음보네,2025-07-08 16:22:09+00:00,영철이는 진짜 투같새다 50이닝 던지는 새끼는 처음보네,negative,2025-07-08
리트리버야 최고야!!!!,2025-07-08 16:20:26+00:00,리트리버야 최고야,positive,2025-07-08
야 한화타자들 돈내고 쳐야겠다.,2025-07-08 16:18:54+00:00,한화타자들 돈내고 쳐야겠다,positive,2025-07-08
"2군 데리고 컨디션 안 좋은팀 하위팀 이기더니 최강이라고 외치다가
1위팀한테 개박살났네 ㅎㅎ",2025-07-08 16:18:06+00:00,2군 데리고 컨디션 안 좋은팀 하위팀 이기더니 최강이라고 외치다가 1위팀한테 개박살났네 ㅎㅎ,neutral,2025-07-08
아니 근데 그.... 해설 너무 못하는..... 발음이 다 뭉개져서 들려요 코막힌소리 ㅠㅠㅠ,2025-07-08 16:18:04+00:00,근데 해설 너무 못하는 발음이 다 뭉개져서 들려요 코막힌소리 ㅠㅠㅠ,neutral,2025-07-08
영철아 좀 꺼지면 안되냐..,2025-07-08 16:16:23+00:00,영철아 꺼지면 안되냐,negative,2025-07-08
동주야 사랑해,2025-07-08 16:15:50+00:00,동주야 사랑해,positive,2025-07-08
경문이형 존심때문에 리베라토 버리고 플로리얼 결정할꺼같다...참고로 경문이형은 플로리얼과 끝까지 함께할꺼라고 지입으로 말함ㅠㅠ,2025-07-08 16:15:42+00:00,경문이형 존심때문에 리베라토 버리고 플로리얼 결정할꺼같다참고로 경문이형은 플로리얼과 끝까지 함께할꺼라고 지입으로 말함ㅠㅠ,negative,2025-07-08
스윕걱정에서 루징걱정으로 바뀐경기,2025-07-08 16:09:44+00:00,스윕걱정에서 루징걱정으로 바뀐경기,positive,2025-07-08
믿음의 야구고 지랄이고 당장 리트머스랑 계약하쇼. 우리와 함께 뛰어온 플로머시기 선택하면 폭동일어난다 진짜,2025-07-08 16:07:24+00:00,믿음의 야구고 지랄이고 리트머스랑 계약하쇼 우리와 뛰어온 플로머시기 선택하면 폭동일어난다 진짜,negative,2025-07-08
"이동욱 해설하지 말자.
이건 뭐 보면 다 아는 내용 주절주절 떠드는게 뭔 해설이야.
잘쳐서 안타를 만들었어요.
잘던져서 아웃을 잡았어요.
에라이",2025-07-08 16:06:37+00:00,이동욱 해설하지 말자 이건 뭐 보면 다 아는 내용 주절주절 떠드는게 뭔 해설이야 잘쳐서 안타를 만들었어요 잘던져서 아웃을 잡았어요 에라이,neutral,2025-07-08
윤영철좀 2군보내라  영철이선발=필패,2025-07-08 16:05:35+00:00,윤영철좀 2군보내라 영철이선발필패,negative,2025-07-08
해설자가 바로 옆에서 소리지르고 있는것 같다 시끄러워,2025-07-08 16:05:19+00:00,해설자가 옆에서 소리지르고 있는것 시끄러워,negative,2025-07-08
10:29 이 수비는 메이저급이네 지린다,2025-07-08 16:01:12+00:00,1029 수비는 메이저급이네 지린다,positive,2025-07-08
"종수는 기회를 줘도 못잡네
안타깝다 안타까워 
시즌 전반 1위 ㅅㅅ",2025-07-08 16:00:01+00:00,종수는 기회를 줘도 못잡네 안타깝다 안타까워 시즌 전반 1위 ㅅㅅ,neutral,2025-07-08
"ㅋㅋㅋㅋㅋㅋㅋㅋ  한화펜은 아닌데, 한화 미쳤구나",2025-07-08 15:58:49+00:00,ㅋㅋㅋㅋㅋㅋㅋㅋ 한화펜은 아닌데 한화 미쳤구나,negative,2025-07-08
전라도 호랭이 충청도 독수리에게   완전 좆된날ᆢ 이글스 축하😊😊😊,2025-07-08 15:58:26+00:00,전라도 호랭이 충청도 독수리에게 완전 좆된날ᆢ 이글스 축하,neutral,2025-07-08
