text,published_at,cleaned,sentiment_pred
"챙겨주신 강철  한판 가자 모두 고맙습니다.  
잘 커준 겨레도 너무 고마워.
영순도 너무 고맙고 모두들 사랑합니다. 
강철 콘서트 감동이었습니다. 
명절 잘 보네시고요. ^^",2025-01-19 22:41:30+00:00,챙기다 강철 한판 가다 고맙다 자다 크다 겨레 고맙다 순도 고맙다 사랑 강철 콘서트 감동 명절 자다 보다,positive
연예게 몇 않되는 타고난 천재들..,2025-01-18 22:29:53+00:00,연예 않다 타고나다 천재,neutral
더 대단해지지 않아도 돼! 행복해수현아❤,2025-01-17 00:12:15+00:00,대단하다 않다 돼다 행복하다 현아,positive
위인전 내가 써줄겡ㅎ ㅋㅋ,2025-01-16 23:57:57+00:00,위인 써줄겡 ㅋㅋ,neutral
"와 찬혁이 대단하다
나 진짜 잘 안웃는데
찬혁이 덕분에 웃고간다
보물이네",2025-01-16 20:57:11+00:00,오다 찬혁 대단하다 자다 웃다 찬혁 덕분 웃다 간다 보물,positive
"법적으로 도덕적으로 위배되지 않는 한..  
찬혁아.. 넌 너가 하고 싶은거 다해라.
가식적인 모습보다 훨씬 보기도 좋구 그게 이찬혁이다.",2025-01-14 06:48:34+00:00,법적 도덕 위배 않다 찬혁 싶다 다해 가식 모습 보기 좋다 그게 이찬혁,positive
"둘다 자존감이 높아서
많지않은 나이인대도
서로 다름을 인정하고 소중한 사람에게 함부로 하지않는 모습이 정말 보기좋아요",2025-01-14 04:55:34+00:00,두다 자존감 높다 많다 않다 나이 대도 서로 다르다 인정 소중하다 사람 함부로 않다 모습 보기 좋다,positive
감사합니다,2025-01-13 20:24:58+00:00,감사하다,positive
간,2025-01-13 20:24:04+00:00,,neutral
"음악적으로 기본기가 워낙 탄탄하다보니
모든게 자연스럽고 예술적 행위로 보인다
찬혁,수연 항상 응원합니다~❤",2025-01-13 13:46:47+00:00,음악 본기 워낙 탄탄하다 보다 모든 자연스럽다 예술 행위 보이다 찬혁 수연 항상 응원,positive
진짜 국보남매다~~,2025-01-12 00:03:58+00:00,국보 남매,neutral
저땐 이찬혁이 너무 중2병스럽고 손발오글 느낌이었는데 이제 와서 돌아보니 천재가 자기 끼를 자각해가는 과정 중이었음,2025-01-11 15:11:52+00:00,이찬혁 스럽다 손발 느끼다 오다 돌아보다 천재 자각 과정,positive
수현이가 참 한결같이 착함. 어떻게보면 독특한 행동하는 찬혁이가 불편할 수도 있는데 잘 맞춰주고 싫어하는 티도 잘 안내고😂. 서로 꾸준히 그룹 활동 잘 해나가는 멋진 남매,2025-01-11 03:01:52+00:00,수현 차다 한결같이 착하다 어떻다 보다 독특하다 행동 찬혁이 불편하다 수도 자다 맞추다 싫어하다 자다 안내 서로 꾸준하다 그룹 활동 자다 해나 가다 멋지다 남매,neutral
두분이 너무 예쁜 관계라 눈물이 날정도로 사랑 스럽네요. 남매의 사랑이 넘쳐나네요. 주님안에서 두분 안전하고 행복하시길... ❤❤❤❤,2025-01-10 18:20:30+00:00,예쁘다 관계 눈물 정도 사랑 스럽다 남매 사랑 넘치다 주님 안전하다 행복하다,positive
악뮤의 무대는 지상과 천상의 중간지대에서 울리는 소리~,2025-01-10 10:39:32+00:00,악뮤 무대 지상 천상 중간 지대 울리다 소리,neutral
천재!!!!!,2025-01-09 11:39:19+00:00,천재,neutral
찬혁 수현이는 하나님의 축복이자 선물인것 같아요 ❤❤,2025-01-09 11:05:36+00:00,찬혁 수현 하나님 축복 이자 선물,positive
우선 국힙원탑이 군필인것부터가 끝임,2025-01-08 06:27:44+00:00,국힙 피다 끝임,neutral
정말 알면 알수록 너무 대단한 아티스트 남매이자 서로를 얼마나 아끼고 의지하는지 볼수록 감동인 남매이네요... 오래오래 함께해줘요❤❤❤,2025-01-08 00:15:09+00:00,알다 대단하다 아티스트 남매 이자 서로 아끼다 의지 보다 감동 남매 오래오래,positive
신해철 다음 주자,2025-01-07 20:05:05+00:00,신해철 주자,negative
"이찬혁씨 너무 좋아요
최고 ㅋㅋㅋ",2025-01-07 12:39:02+00:00,이찬혁 좋다 최고 ㅋㅋㅋ,positive
"악뮤는 정말 위대한 천재!!! 앞으로도 승승장구 했으면 좋겠네요!
시월모바일 알뜰폰 요금제 너무 저렴해서 너무 좋아요",2025-01-06 12:51:24+00:00,악뮤 위대하다 천재 승승장구 좋다 시월 모바일 알뜰폰 금제 저렴하다 좋다,positive
유재석은 자기보다 잘난 꼴을 못 본다 돈좀 벌더니 다 깔아 보는 가벼운....,2025-01-04 22:31:12+00:00,유재석 잘나다 보다 돈좀 벌다 깔다 보다 가볍다,neutral
대한민국 역대급 천재 뮤지션이 둘이 동시에 나타난게 복이다,2025-01-04 20:15:37+00:00,대한민국 역대 천재 뮤지션 동시 나타나다,neutral
찬혁은 행복해보이고 이수현은 목소리는 정말 국보네...,2025-01-04 11:38:16+00:00,찬혁 행복 해보다 이수현 목소리 국보,positive
수현 살빠지니 너무 이뻐요,2025-01-03 23:59:26+00:00,수현 살빠지다 이쁘다,neutral
찬혁이가 리얼 아티스트고 수현이는 그저 테크닉한 싱어일뿐…그래서 둘은 서로 필요한 관계,2025-01-02 12:00:56+00:00,찬혁이 리얼 아티스트 수현 테크닉 싱어 서로 필요하다 관계,neutral
난 GD보다 이찬혁!!,2025-01-02 10:36:54+00:00,보다 이찬혁,neutral
"중간공연영상에 쪽빨 야마하드럼은 뭐냐 
렌탈 하는 것들은 쓰레긴가 저걸 왜 써 
에이 짜증나네",2025-01-02 02:43:41+00:00,중간 영상 쪽빨 야마하 드럼 렌탈 쓰레기 저걸 써다 에이 짜증나다,negative
둘 다  너무 멋짐,2025-01-02 02:37:27+00:00,멋지다,positive
"찬혁씨 표현 다 알아듣겠고 그 표현력이 맘에 들고 참 좋네요😊

두 분 늘 응원합니다~",2025-01-01 12:54:30+00:00,찬혁씨 표현 알아듣다 표현 들다 차다 좋다 응원,positive
참으로 기특한 친구들이로다,2024-12-31 08:20:05+00:00,참으로 기특하다 친구 들이다,positive
찬혁 같은 오빠 있음 좋겠당😂,2024-12-31 04:40:49+00:00,찬혁 오빠 좋다,positive
저도 악뮤 초반 부터 좋아했엉!순수한 천재성이 느껴진달까 그들의 성장배경이 일반과 다름에도 불구하고 숨길수 없는 재능.!!!,2024-12-31 04:39:25+00:00,악뮤 초반 좋아하다 순수하다 천재 느껴지다 달다 성장 배경 일반 다르다 불구 숨다 없다 재능,positive
"댓글을 안달수가 없는…자유롭지만 거부감 없는 밝은 아티스트 찬혁, 매력적이고 사랑스러운 맑은 목소리의 가수 수현 ~",2024-12-30 18:06:23+00:00,댓글 안달 수가 없다 자유롭다 거부 없다 밝다 아티스트 찬혁 매력 사랑스럽다 맑은 목소리 가수 수현,positive
악뮤는 정말 우리들의보석이에요 오래오래 음악해줬으면 좋겠어요,2024-12-30 17:32:43+00:00,악뮤 보석 오래오래 음악 좋다,positive
내 나이 마흔 다섯에 사춘기가 온듯 해. 잘이겨내 볼께.,2024-12-30 16:42:48+00:00,나이 마흔 사춘기 오다 이기다,positive
이찬혁 은근 개그캐임 ㅋㅋㅋㅋ,2024-12-30 14:19:52+00:00,이찬혁 은근 개그 캐임 ㅋㅋㅋ,neutral
찬혁아티스트 존경해요^^,2024-12-29 10:57:28+00:00,찬혁 아티스트 존경,positive
16:44 에나오는 노래 제목뭔가ㅛ우ㅜㅜ,2024-12-29 04:46:09+00:00,1644 에나 오다 노래 제목 뭔가 ㅜㅜ,negative
너무좋다,2024-12-29 04:40:39+00:00,좋다,positive
"좋아하는 연예인은 있어도 좋아하는 사람은 없었는데,
악뮤는 좋아하는 사람이 될 것 같습니다..  
위인전 나올때까지 응원할게요🤩 응원할게요❤❤❤",2024-12-28 23:46:43+00:00,좋아하다 연예인 좋아하다 사람 없다 악뮤 좋아하다 사람 위인 나오다 응원 응원,positive
찬혁은 보면 정신에 문제있는거 같은데ㅋㅋ,2024-12-28 17:27:02+00:00,찬혁 보다 정신 문제 ㅋㅋ,positive
둘다절대음감,2024-12-28 04:33:02+00:00,두다 절대음감,neutral
"선 함이 성공하기 까지 ...
모두들 힘 내 보자구요❤",2024-12-28 03:32:06+00:00,성공하다 보다,positive
Thank you ❤😊,2024-12-27 21:20:15+00:00,,neutral
딸하난데.. 이제라도 .. 찬혁이같은  오빠를 만들어주고싶네 ㅋ  음.. 😢 나중에 결혼 잘해서  오빠대신 아빠를 만들어야겠지,2024-12-27 13:26:53+00:00,따다 찬혁이같 오빠 만들다 나중 결혼 오빠 대신 아빠 만들다,neutral
촉새 유재석 없는 세상에서 살고 싶다............지겹다 못해 역겹다,2024-12-27 10:22:55+00:00,촉새 유재석 없다 세상 싶다 지겹다 역겹다,negative
"3:02 악뮤 전 앨범과 에러 앨범까지, 이제와서 생각해보니 이찬혁 위인전 나오면 난 무조건 사서 읽어보고싶다",2024-12-27 03:30:27+00:00,302 악뮤 앨범 에러 앨범 서다 생각 해보다 이찬혁 위인 나오다 무조건 사서 읽다 보다,negative
너무사랑해 악뮤 나 이거 주기적으로 봐 ㅡ 나 진짜 너네사랑해 ㅡ 고마워,2024-12-26 13:57:17+00:00,무사 악뮤 기적 보다 사랑 고맙다,positive
CD를 삼키고 GD를 삼키는건 ㅋㅋㅋ 누가 생각해낸거야 ㅋㅋ 라임쥑인당 ㅋㅋㅋㅋㅋ 천재👍🏻👍🏻👍🏻👍🏻❤️❤️,2024-12-25 21:39:53+00:00,삼키다 삼키다 ㅋㅋㅋ 누가 생각 해내다 ㅋㅋ 라임 ㅋㅋㅋ 천재,neutral
진심으로 수현이는 아프지 않았으면 좋겠다,2024-12-25 12:17:13+00:00,진심 수현 아프다 않다 좋다,positive
수현... 너무 귀엽고 사랑스러워. 흥해라!!! 찬혁이도 귀여워.^^,2024-12-25 11:33:21+00:00,수현 귀엽다 사랑스럽다 찬혁이 귀엽다,positive
온 가족이 다 사춘기를 겪는 수현이를 돌봐준다는 말이 참 든든하고 따뜻하게 느껴진다~ 단단해질 수 밖에 없을듯 !,2024-12-25 10:05:37+00:00,가족 사춘기 겪다 수현 돌보다 주다 차다 든든하다 따뜻하다 느껴지다 단단하다 없다,neutral
미안하다 찬혁아 니는 쥐디 따라가지도 못한다 끼가 틀린데 왜 바보짓을 하냐;;쥐디 처럼 목소리라도 힙하던가 넌 그냥 악뮤 음악에 맞어 그냥 이수현이랑 같이 악뮤로나 열심히 해라 왜 디디면 안될곳을 계속 디디지 ㅡㅡ;;,2024-12-25 07:12:48+00:00,미안하다 찬혁 쥐다 따라가다 틀리다 바보 쥐다 처럼 목소리 그냥 악뮤 음악 맞다 그냥 이수현 악뮤 로나 열심히 디디 안되다 계속 디디 ㅡㅡ,negative
5:08,2024-12-25 04:10:05+00:00,508,neutral
악뮤는 진짜 독보적인 세계적인 남매 그자체다 ㅎㅎ,2024-12-25 02:07:55+00:00,악뮤 독보 세계 남매 자체 ㅎㅎ,neutral
뮤지션이 아닌 인간으로써도 진짜 대단하다. 어린나이인데 신념과 옳음이 뭔지 아는 그리고 무엇보다 사랑과배려가 많은 인성이네. 역시 악뮤는 최고.,2024-12-25 01:13:57+00:00,뮤지션 아니다 인간 대단하다 어리다 신념 옳다 알다 사랑 배려 많다 인성 역시 악뮤 최고,positive
찬혁이는 자신을 있는 그대로 보여주는 솔직함이 베이스라 연애인병과는 완전 다른거 같아요^^ 편하게 감동주는 악뮤 사랑해요,2024-12-25 01:08:54+00:00,찬혁이 그대로 보여주다 솔직하다 베이스 연애 병과 완전 다르다 편하다 감동 주다 악뮤 사랑,positive
"수현씨. 
수현씨는 오빠말 그대로 정답이고 빛이에요. 
수현씨 하고 싶은거 다해~🩷 
전국민이 사랑하고 응원하고 아끼고 있어요. 그러니 너무 애쓰지 말고 그냥 편하게 지내요^^ 진심으로,  뭘하든 다 괜찮고 이쁜사람에요 🍀",2024-12-24 05:42:17+00:00,수현 수현 오빠 그대로 정답 수현 싶다 다해 국민 사랑 응원 아끼다 애쓰다 그냥 편하다 지내다 진심 괜찮다 이쁘다 사람,positive
"유느님도 잠시 머뭇 ㅋㅋㅋ
진심 찬혁씨 윈
모든 끼를 방출하세요❤",2024-12-23 23:13:57+00:00,유느님 머뭇 ㅋㅋㅋ 진심 찬혁씨 모든 방출,neutral
"가수 이찬혁이 저런 말하니까 웃으면서도 들어주는거지
다른 사람이 했으면 진즉에 매장 당함...
그만큼 많은걸 쌓아왔고 이미 보여줬었다고 생각함
음악적인 부분으로는 누구를 비교하기 힘들 정도로 자신만의 
확실한 길을 걸은것은 부정할 수 없음
그래서 나좀 대단한듯? 이제 자유롭고 싶다 이정도는 
그런가? 그러고 들어줘도 된다고 생각합니다",2024-12-23 02:32:07+00:00,가수 이찬혁 저런 웃다 들어주다 사람 진즉 매장 당하다 그만큼 많다 쌓다 오다 이미 보여주다 생각 음악 부분 비교 힘들다 정도 확실하다 걸다 부정 없다 나좀 대단하다 자유 싶다 정도 런가 들어주다 생각,positive
"'혼자 일어날 수 있는 나인대요 뭐'
ㅎㅎㅎ",2024-12-21 20:17:21+00:00,일어나다 나인 ㅎㅎㅎ,positive
"오빠에게 ‘빛나는 사람’ 이자 정답이었던 동생이 얼마나 될까 

가족의 끈끈함 속에 믿어주고 기다려주고
서로가 예쁜 언어로 채워주고 

긴 시간 함께하는 가족이라서 더 응원한다 

원래 인생은 슬럼프 극복을 통해 
중요한 것들을 찾아가게 되고 
거기에서 찾은 사람들에게 더 애틋해지는 듯",2024-12-20 19:53:07+00:00,오빠 빛나다 사람 이자 정답 동생 가족 끈끈함 믿다 기다리다 서로 예쁘다 언어 채우다 기다 가족 응원 원래 인생 슬럼프 극복 통해 중요하다 찾아가다 거기 찾다 사람 애틋하다,positive
저 가족 부럽다.,2024-12-20 16:58:12+00:00,가족 부럽다,negative
아 둘 다 너무 사랑스러 😍,2024-12-18 05:26:45+00:00,사랑스럽다,positive
아주 끈끈한 서로 챙겨주는 남매의 모습이 너무 이뻐요 보는 사람도 훈훈하고 앞으로도 더 서로 의지하면서 단단한 한 팀으로 나아갔으면 하네요^^,2024-12-18 04:34:35+00:00,아주 끈끈 서로 챙기다 남매 모습 이쁘다 보다 사람 훈훈하다 서로 의지 단단하다 나아가다,positive
GD를 삼켰다는 이 영상의 제목이 매우 아쉽네요.,2024-12-17 09:02:15+00:00,삼키다 영상 제목 매우 아쉽다,negative
이렇게 대견하고 자랑스러운 남매가 또 ㅣㅆ을까,2024-12-15 11:44:56+00:00,이렇게 대견하다 자랑스럽다 남매 ㅣㅆ,positive
진짜 얘네는 뭘 해도 예쁘당 참 소중해❤ 앞으로도 좋은 음악 많이 들려주길~,2024-12-14 22:52:34+00:00,해도 예쁘다 차다 소중하다 좋다 음악 들려주다,positive
아 찬혁아 ㅋㅋㅋㅋ 웃겨죽어 ㅋㅋㅋ 웃기면서 철학적인 찬혁이 ㅋㅋㅋ,2024-12-14 01:22:18+00:00,찬혁 ㅋㅋㅋ 웃기다 죽다 ㅋㅋㅋ 웃기다 철학 찬혁 ㅋㅋㅋ,negative
"울 대한민국의 이쁜 남매라 둘의 성장이 너무 소중하고 기특하고 예쁘고
그냥 다 사랑스러워 ❤❤❤",2024-12-12 14:53:52+00:00,대한민국 이쁘다 남매 성장 소중하다 기특하다 예쁘다 그냥 사랑스럽다,positive
공기를 먼저 둔다는 표현도 가사로 쓸법하네 ㅋㅋ 춤추는것등등 받아줄사람이 별로 없었을텐데 자이언티 만나서 잘됐네ㅋㅋㅋ,2024-12-10 02:52:04+00:00,공기 먼저 두다 표현 가사 쓸다 ㅋㅋ 춤추다 받다 사람 별로 없다 자이언티 만나다 돼다 ㅋㅋㅋ,negative
이수현 어린시절보니까 장윤정 딸래미 같아 😂 귀엽당,2024-12-09 12:31:37+00:00,이수현 어린시절 장윤정 래미 귀엽다,positive
이수현 목소리 너무 좋아 😍,2024-12-09 12:27:58+00:00,이수현 목소리 좋다,positive
찬혁의 gd병 귀엽다ㅋㅋㅋ,2024-12-09 12:08:41+00:00,찬혁 귀엽다 ㅋㅋㅋ,positive
알람신청이요,2024-12-06 00:14:19+00:00,알람 신청,neutral
"찬혁이 형은 그냥 지디병이 아님.
그냥 지디 그 자체임.",2024-12-05 02:08:38+00:00,찬혁 그냥 지다 아니다 그냥 지다 자체,negative
GD를 삼킨게 아니라 우연히 가는길이 비슷했을 뿐임. 누군가의 그림자로 불려지기엔 너무 이찬혁임.,2024-12-03 17:03:58+00:00,삼키다 아니다 우연히 가다 길이 누군가 그림자 불다 지기 이찬혁,neutral
